# Pos,Name,Age,Rookie Year,Pot,FIQ,Dur,Stat1,Stat2,Stat3,Contract Money, Contract Years
#AMNOR
Baltimore Ruckus,BAL
CB,Yusuf Oneal,23,2015,88,54,84,81,91,67,1.2,4
DL,Frank England,25,2013,86,60,90,79,91,33,0.7,2
DL,Alan Paul,23,2015,88,45,82,73,71,66,1,4
DL,Aaron Adams,27,2010,83,77,87,95,82,88,6.3,5
DL,Zac Sykes,20,2016,90,65,85,90,89,86,2.3,4
DL,Aoife Blair,24,2014,77,60,86,75,83,72,0.6,4
DL,Joss Parrish,29,2010,59,73,88,84,79,75,1.1,2
DL,Paul Gibson,25,2014,77,59,94,94,72,89,0.6,4
DL,Ed Sanders,25,2014,62,62,88,75,80,73,0.6,1
LB,Tor Livingston,26,2013,62,62,88,72,68,63,0.6,1
LB,Craig Hutchinson,26,2012,75,83,89,89,74,84,8.7,3
LB,Bailey Lin,25,2013,66,65,95,67,70,58,0.5,2
LB,Mohammed Norman,31,2007,80,92,87,88,65,94,5,3
LB,Marvin Peterson,24,2015,83,64,82,81,79,85,0.7,4
LB,Mason Barrera,28,2011,80,74,86,87,78,74,2.3,2
LB,Daniel Cummings,24,2013,62,60,90,76,77,61,0.6,2
LB,Eric Shepherd,26,2012,90,77,91,88,69,75,3,3
END_PLAYERS
Cincinnati Gals,CIN
QB,Maxine Cook,30,2008,64,69,98,81,78,71,3.5,3
QB,Mitzi Bass,21,2016,84,97,90,77,80,84,10.5,4
RB,Amira Ballard,20,2016,75,86,55,64,94,60,3,2
RB,Hana Malone,27,2011,67,75,97,97,76,81,6.5,3
RB,Chloe Gonzales,25,2013,64,94,60,87,55,50,1,2
RB,Velma Moreno,22,2015,53,52,74,69,64,72,1,3
WR,Robin Gray,24,2013,94,75,72,80,85,96,8.5,4
WR,Mabel Strickland,30,2008,69,61,61,67,76,53,0.8,2
WR,Keira Logan,23,2014,65,70,98,90,66,84,3,3
WR,Jinni Cooke,28,2010,86,85,65,60,92,76,1.5,3
WR,Julie Montgomery,22,2016,92,67,69,60,76,65,0.5,2
WR,Elin Leonard,29,2009,69,95,80,97,63,59,1.8,3
OL,Sylvia Morrison,28,2010,92,85,70,88,75,64,5,4
OL,Elle Reyes,24,2013,80,80,58,67,55,74,2,3
OL,Leora Haines,19,2016,86,60,72,70,91,64,2.5,3
OL,Joann Reed,31,2007,84,74,91,66,86,90,3,2
OL,Holly Kirk,25,2012,75,87,59,67,50,69,1.2,4
OL,Rina Jacobs,27,2010,72,83,88,56,70,74,0.7,1
OL,Elli Guzman,23,2014,96,94,96,85,90,74,4,5
OL,Tiana Medina,26,2011,69,99,72,79,56,68,1,2
OL,Lucie Winters,22,2016,59,68,64,68,56,70,0.3,2
OL,Ilse Barber,25,2012,87,60,71,85,81,60,1.2,3
K,Terry Osbourne,27,2012,85,75,65,67,92,78,1.9,3
K,April Simpson,23,2013,87,67,58,68,72,97,0.9,1
S,Bethany Villegas,28,2010,76,68,70,87,81,68,6.5,3
S,Halima Curry,24,2014,57,61,80,68,84,97,2.6,2
CB,Christa Gonzales,25,2013,76,79,92,90,78,84,5,4
CB,Bethany Ferrell,29,2009,74,73,90,63,80,77,2.3,2
CB,Ali Allison,22,2016,83,91,66,72,76,83,1.2,2
CB,Fran Wade,27,2011,79,74,65,81,74,62,1,2
CB,Abigail Salas,26,2012,80,79,71,61,83,79,2,3
CB,Lily Wallace,21,2016,90,79,89,93,84,78,4.6,3
DL,Georgie Vincent,29,2009,73,50,79,67,86,78,1.4,2
DL,Beth Odom,27,2012,69,75,91,83,98,76,3.3,3
DL,Carmen Goodman,23,2015,64,78,88,86,80,77,2.5,4
DL,Rosemary Ferguson,25,2013,87,91,99,65,75,75,1.7,2
DL,Maya Ashley,24,2014,65,71,73,80,67,79,2,2
DL,Imogen Mora,28,2010,96,99,72,95,54,97,4.2,4
DL,Samantha Ramirez,30,2008,74,70,97,78,99,73,2.3,3
DL,Annie Kidd,21,2016,92,55,74,82,67,74,0.9,5
LB,Aya Ayala,27,2011,81,78,53,69,78,81,72,3.3,2
LB,Tess Gilbert,22,2016,79,100,95,95,76,77,4.1,3
LB,Charlotte Wall,29,2009,63,64,91,75,85,55,1.6,2
LB,Karie Conner,25,2013,51,84,68,98,56,61,0.7,1
LB,Rose Chambers,23,2015,97,57,61,81,98,74,2.4,3
LB,Marnie Austin,24,2013,78,59,74,84,72,61,1.5,2
LB,Madeleine Arnold,22,2016,76,82,99,77,73,70,1,2
LB,Iqra Welsh,29,2009,93,53,100,49,99,75,2,1
END_PLAYERS
Cleveland Bros,CLE
QB,Guy Cantu,38,2000,58,99,90,104,107,20,20.5,2
QB,Zack Cox,26,2013,69,55,90,85,73,30,0.5,1
RB,Thomas Charles,24,2014,64,47,85,87,76,53,0.5,2
RB,Herman Duncan,26,2014,62,85,85,50,85,80,0.6,1
RB,Joshua Meza,27,2014,62,40,85,85,81,57,0.5,3
RB,Fletcher Harrison,23,2014,87,78,94,95,88,79,0.9,4
WR,Jared Case,27,2011,61,73,92,79,88,75,2.6,1
WR,Cole Beck,24,2014,67,64,92,77,90,76,0.6,4
WR,Jesse Walters,24,2015,64,52,85,70,87,77,0.5,2
WR,Haroon Walls,29,2009,97,74,86,71,92,74,1.3,3
WR,Umar Cohen,27,2011,79,73,83,80,90,65,0.8,1
WR,Muhammad Grant,24,2013,76,77,92,87,92,85,0.6,4
OL,Owen Orr,26,2013,78,56,83,85,76,77,0.5,1
OL,Bilal Dixon,31,2009,82,88,78,92,84,93,4.2,4
OL,Harvey Cameron,24,2015,80,44,84,88,83,81,0.6,2
OL,Hussain Welch,26,2012,63,69,94,75,72,82,0.5,1
OL,Robert Shepherd,24,2014,62,72,94,87,82,72,0.5,3
OL,Gethin Stone,30,2008,61,78,93,96,84,72,1.5,2
OL,Manny Owen,24,2015,63,55,95,84,80,70,0.5,3
OL,Jon Mathews,28,2010,98,87,82,88,84,89,10.6,5
OL,Greg Chaney,25,2014,72,48,93,92,77,74,0.6,4
OL,Glenn Bauer,26,2011,84,85,92,82,90,89,8.9,5
K,Kye Fry,24,2014,64,65,85,80,80,70,0.5,1
K,Isaiah Gentry,25,2014,72,72,85,91,87,87,0.6,4
S,Freddie Freeman,25,2012,60,69,93,77,88,65,2.3,2
S,Troy Underwood,23,2014,92,71,95,84,88,83,2.1,4
CB,Donald Hall,23,2014,67,48,87,79,90,48,0.6,4
CB,Roger Harvey,30,2008,71,83,97,79,92,50,10,5
CB,Jesse Lucero,25,2013,86,60,90,79,91,33,0.7,2
CB,Casey Salas,29,2010,73,72,84,75,90,55,2.4,1
CB,Zakaria Maldonado,31,2008,65,82,90,87,92,45,0.9,1
CB,Jason Griffin,27,2013,86,69,80,75,92,47,0.9,4
DL,Courtney Hood,22,2016,90,65,85,90,92,91,2.1,4
DL,Gorka Hines,25,2015,73,38,87,74,60,59,0.6,4
DL,Hank Mayer,24,2013,76,66,87,77,82,76,0.6,4
DL,Mickey Merrill,24,2014,82,60,91,81,78,55,0.7,4
DL,Ismail Valenzuela,25,2012,90,74,95,94,82,92,2.4,4
DL,Adam Marshall,23,2014,82,53,92,66,80,69,0.7,4
DL,Al Juarez,22,2015,93,48,87,85,81,91,2.5,4
DL,Dru Anderson,30,2009,84,87,87,101,94,87,7.1,2
LB,Calvin Newman,24,2015,73,62,83,83,47,75,0.6,4
LB,Arjun Gay,31,2007,65,82,87,76,84,80,1,1
LB,Alistair Wade,25,2014,63,54,90,79,64,56,0.6,2
LB,Ted Kidd,23,2015,73,49,74,78,53,70,0.5,1
LB,Roy Bloggs,22,2015,88,56,93,87,64,72,2.2,4
LB,Phillip Zuniga,25,2014,67,39,94,72,63,69,0.6,2
LB,Tony Cortez,28,2010,58,90,92,79,87,87,1.6,1
LB,Frank Osborne,29,2011,59,75,88,78,79,70,1,2
END_PLAYERS
Pittsburgh Steelskirts,PIT
QB,Naomi Beasley,24,2015,80,88,70,76,94,68,4.3,4
QB,Kira Peck,28,2011,68,57,75,80,60,79,2.7,3
RB,Hazel Booth,26,2013,100,62,75,66,93,77,3.8,2
RB,Alesha Mills,23,2016,60,75,98,58,73,81,2,2
RB,Danielle Chase,28,2010,97,72,59,86,56,73,1.6,3
RB,Jessie Jacobs,24,2014,82,87,78,59,71,85,1,3
WR,Ann Salinas,27,2012,76,100,85,93,84,80,6.5,4
WR,Mary Ford,25,2014,97,79,89,75,73,69,4,2
WR,Jamie Shelton,28,2010,76,74,97,89,65,99,5,1
WR,Abby Grant,21,2016,62,71,92,72,69,77,1.6,3
WR,Veronica Nicholson,23,2016,92,100,78,73,68,90,2.3,2
WR,Kian Swanson,30,2008,56,83,88,80,67,72,1.7,3
OL,Maxine Aguirre,31,2007,70,98,54,82,81,76,2.1,2
OL,Sha Mata,24,2015,68,70,85,69,93,75,1.8,3
OL,Yamka Fischer,22,2016,72,62,92,74,79,81,2,4
OL,Helen Nguyen,28,2010,92,93,92,91,86,88,3.4,2
OL,Elena Miller,27,2011,86,97,81,66,99,77,2.6,2
OL,Mae Meza,25,2013,77,69,81,70,53,98,2,3
OL,Victoria Warner,23,2016,70,89,72,93,63,64,0.7,2
OL,Joann Caldwell,28,2010,82,96,86,62,65,98, 1.1,3
OL,Caitlin Chen,21,2016,69,69,69,69,69,69,0.6,9
K,Hermione Bonner,29,2010,56,74,89,76,69,82,2.1,3
K,Sasha Blair,22,2016,79,59,82,66,59,94,0.5,4
S,Sofi Admas,26,2012,92,87,78,75,99,69,4.2,3
S,Angie Glass,23,2015,64,81,93,63,74,80,2.2,2
CB,Loulou Rivas,27,2011,62,74,76,65,97,73,1.3,3
CB,Kathy Jones,23,2016,99,92,81,86,88,89,3.4,4
CB,Anita Wong,29,2009,65,73,55,68,88,71,2,2
CB,Martha Reeves,27,2011,75,99,75,84,71,97,3.6,2
CB,Gloria Gutierrez,24,2015,100,57,72,97,79,99,5,1
CB,Maisy Oliver,25,2013,67,83,94,93,67,73,3.9,2
DL,Caitie Steele,21,2016,99,84,79,81,76,90,2.1,2
DL,Jori Jordan,26,2013,58,95,62,81,74,71,1.8,2
DL,Molly Carrillo,30,2009,60,85,65,70,83,69,1.3,3
DL,Tabitha Lynch,25,2014,94,74,79,72,68,80,1.3,2
DL,Kimberly Alexander,29,2010,45,73,69,69,73,79,1,2
DL,Sadie Rush,21,2016,82,98,73,91,84,80,2.1,3
DL,Mia McConnell,28,2011,64,78,72,73,69,75,1,1
DL,Erica Kenzie,25,2013,75,75,82,73,93,77,1.4,2
LB,Marie Barber,26,2013,68,54,58,75,81,78,1.9,3
LB,Jane Walton,24,2014,75,59,72,73,69,91,1.5,2
LB,Livie Bishop,27,2012,81,99,84,83,79,90,2.4,4
LB,Diana Parks,29,2009,53,94,79,71,59,64,1.3,2
LB,Saskia Wilkins,22,2016,74,78,84,67,74,81,0.9,3
LB,Tassa Roberson,28,2011,66,83,72,71,54,71,0.5,2
END_PLAYERS
#AMEAS
Buffalo Bills,BUF
QB,Jack Carr,27,2012,80,66,88,84,71,30,20,1
QB,Ken O'Reilly,29,2009,57,70,90,82,71,50,7,3
RB,Zak Roberts,25,2014,64,49,92,75,78,42,0.5,2
RB,Sebastion Frye,28,2008,97,82,72,80,90,57,1.5,2
RB,Wayne Fulton,27,2013,71,71,90,83,91,69,0.5,3
RB,Abdul Burns,30,2010,68,75,78,80,86,71,3,2
WR,Jimmy Patton,26,2012,75,74,75,84,88,75,8,5
WR,Vincent Hughes,23,2013,66,67,92,81,87,74,0.6,4
WR,Melvin Colon,24,2014,64,53,89,72,90,85,0.5,2
WR,Jerry Sandoval,28,2009,87,82,85,87,84,72,8.5,4
WR,Clarence Roberson,23,2015,83,56,90,79,94,64,0.8,4
WR,Jeffrey Owens,27,2011,69,75,88,74,85,79,2.8,3
OL,Callum Green,24,2013,91,78,98,92,93,77,3,4
OL,Jax Long,25,2014,62,61,90,83,86,76,0.5,3
OL,Rocco Page,24,2014,62,72,94,87,82,72,0.5,3
OL,Fritz Becker,26,2012,85,72,85,83,83,74,7,4
OL,Justin Ellis,29,2008,86,90,83,89,78,88,6,1
OL,Al Bush,28,2011,89,85,87,87,88,81,10,2
OL,Ollie Caldwell,28,2010,74,71,75,86,81,74,0.8,1
OL,Tomos Ford,25,2014,78,55,92,89,81,69,0.6,2
OL,Doug Gill,26,2012,90,78,92,94,83,88,2,4
K,Hector Ponce,24,2014,63,64,90,92,85,70,0.5,1
K,Harry Friedman,24,2014,68,56,95,90,80,70,0.6,2
S,Hashim Mora,25,2014,82,52,83,76,91,79,0.7,4
S,Conor Downs,24,2015,73,55,81,81,90,75,0.6,4
CB,Adrian Bird,23,2015,73,47,87,76,91,35,0.6,4
CB,Vincent Walton,27,2011,84,83,88,90,89,88,9.9,6
CB,Harrison Walker,30,2007,70,83,88,92,89,55,4.1,4
CB,Maxwell Everett,22,2015,69,55,67,76,87,49,0.6,4
CB,Evan Morrow,26,2014,62,70,90,94,87,60,0.5,3
CB,Aadam Bridges,30,2007,86,98,88,104,92,66,14,5
DL,Louis Horne,23,2014,64,52,90,78,70,81,0.6,2
DL,Mate Wise,27,2013,61,69,93,85,79,82,0.6,1
DL,Leonard Lyons,29,2009,82,84,86,82,93,75,4.5,4
DL,Gethin Barrett,26,2011,79,84,92,91,92,89,9,4
DL,Yasin Atkinson,28,2011,90,74,84,92,82,86,0.8,1
DL,Omar Bates,27,2012,62,63,91,71,83,62,0.7,1
DL,Liam Wilcox,22,2015,88,48,83,88,79,87,1.5,4
LB,Leroy Boyle,24,2015,78,47,92,70,84,62,0.6,4
LB,Matteo Stewart,30,2010,68,76,90,73,72,74,3,3
LB,Roy Bloggs,26,2012,75,79,96,91,77,81,4,2
LB,Keaton Howell,30,2009,82,90,88,100,95,98,13.2,5
LB,Edgar Brennan,27,2011,65,72,90,82,63,66,0.8,1
LB,Tom Robles,27,2012,80,74,88,84,66,73,1.6,2
LB,Barnaby Dean,24,2014,78,74,80,83,88,74,0.6,4
LB,Larry Herrera,27,2012,75,66,88,74,70,61,0.8,1
END_PLAYERS
Miami Darlings,MIA
QB,Claudia Walsh,24,2015,92,44,91,78,84,84,7.5,3
QB,Dorothy Grimes,24,2014,86,75,88,69,74,65,3.1,3
RB,Millie Roy,26,2013,78,65,50,59,67,60,1,2
RB,Melanie Hatfield,25,2014,76,75,80,79,51,75,1.3,2
RB,Hana Mullins,23,2016,88,90,65,69,70,63,1.2,2
RB,Jasmin Bowers,28,2011,58,63,86,77,81,88,3.2,3
WR,Esme Bray,22,2016,80,56,66,82,98,78,4.3,3
WR,Constance Gallegos,25,2014,83,65,70,78,66,91,3.9,2
WR,Stacey Hendrix,27,2012,78,53,52,79,69,57,2.2,1
WR,Eloise Long,29,2010,59,79,99,90,69,81,3.6,3
WR,Eve Sykes,21,2016,86,91,95,73,81,68,1.3,2
WR,Lyssa Shah,28,2011,63,74,77,63,78,66,0.9,2
OL,Zay York,24,2014,93,92,79,88,74,81,1,2
OL,Brea Banks,25,2014,70,87,94,67,90,74,1.2,2
OL,Mitzi Morton,23,2016,73,66,78,76,59,80,1.5,3
OL,Kitty Solis,27,2012,59,67,71,75,85,99,2,2
OL,Gabrielle Chandler,27,2012,97,89,63,97,57,80,1.8,2
OL,Emilie Crawford,28,2011,74,86,89,63,59,75,1.2,3
OL,Lili Duffy,24,2015,63,98,77,76,72,93,1.6,3
OL,Cathy Riggs,26,2013,56,85,83,77,69,81,1.5,2
OL,Scarlet Daugherty,29,2010,54,88,72,81,74,69,2.3,2
OL,Meg Weiss,25,2014,78,81,67,59,72,63,0.9,2
K,Madline Love,22,2016,93,85,88,90,79,84,3.4,4
K,Addie McKnight,28,2011,54,81,73,77,60,82,1,2
S,Annalise Hanna,29,2010,64,76,88,87,81,69,4.3,3
S,Ida Blackwell,24,2015,75,84,67,76,68,73,2.2,2
CB,Mimi Maxwell,26,2013,84,73,92,57,78,81,2.1,2
CB,Pearl OConnell,27,2012,74,75,76,86,78,73,2.4,2
CB,Megan Cannon,31,2007,52,81,79,93,73,82,1.5,2
CB,Sophia McGowan,24,2015,88,57,75,83,78,80,2.5,3
CB,Priya Freedman,22,2016,78,66,91,83,59,72,1.2,2
DL,Carrie Young,21,2016,89,79,65,74,68,68,0.9,3
DL,Rosie Merrill,28,2011,62,71,76,82,76,85,2.3,2
DL,Sydney Maddox,24,2015,87,65,78,64,76,84,1.8,3
DL,Laila Holt,26,2013,77,64,86,91,67,83,2.2,2
DL,Harley West,25,2013,61,70,76,74,69,79,1.6,2
DL,Fran Salazar,29,2009,58,87,65,84,79,64,1.3,2
DL,Ellen Ross,27,2012,55,76,78,80,88,74,2.3,2
LB,Belle Chandler,22,2016,98,84,90,78,84,89,2.6,3
LB,Savannah Thornton,25,2014,78,68,81,91,72,80,2.3,3
LB,Lexie Daughter,23,2015,59,71,64,80,73,81,1.8,2
LB,Jessica Flowers,28,2011,63,72,84,81,71,52,1.5,2
LB,Maisie Webster,30,2009,44,98,57,88,72,76,1.8,1
LB,Amy Vance,25,2014,69,82,75,73,65,80,1.3,2
LB,Crystal Gould,27,2012,57,67,77,53,70,71,0.6,3
END_PLAYERS
New England Patriarchs,NE
QB,Harvey Mosley,29,2010,78,69,88,81,74,60,3,3
QB,Hussain Santiago,27,2012,61,45,85,86,72,25,0.6,2
RB,Zak Brady,27,2012,61,66,80,56,87,72,0.7,2
RB,Mason Hensley,28,2010,98,81,82,55,93,88,4,4
RB,Owen Newman,25,2013,71,65,85,76,87,64,0.6,2
RB,Arjun Harrington,30,2008,86,80,80,70,95,85,1.5,1
WR,Jerry Hunter,26,2012,60,78,95,78,68,45,1.9,3
WR,Jay McCarthy,22,2015,64,48,75,77,92,55,0.5,1
WR,Jason Hernandez,24,2014,82,53,91,83,90,88,0.7,4
WR,Alexander Raymond,26,2012,60,79,96,86,89,75,4.5,3
WR,Curtis Bently,28,2011,84,74,94,79,81,63,4.6,4
WR,Lenny Livingston,27,2012,62,55,92,77,88,82,0.5,3
OL,Tor Crawford,25,2014,77,65,93,82,85,74,0.6,4
OL,Elbert Doyle,32,2006,64,88,91,90,82,91,4,5
OL,Shawn Cameron,30,2009,65,69,88,84,80,73,0.7,1
OL,Jimmie Richardson,24,2014,102,75,98,85,80,82,4.1,4
OL,Chester Walter,25,2014,87,60,85,89,79,84,0.8,4
OL,Travis Downs,34,2004,52,87,76,98,96,97,10.3,4
OL,Maxim Barlow,32,2009,65,71,90,88,80,69,0.7,1
OL,Victor Matthews,25,2012,81,68,85,82,79,68,0.8,2
OL,Jules Fischer,24,2015,68,60,92,73,77,71,0.6,4
OL,Stephen McCarty,25,2013,81,65,85,89,79,79,0.6,4
K,Bilal Velez,25,2014,72,72,85,91,87,87,0.6,4
K,Lachlan Gray,24,2014,64,65,85,80,80,70,0.5,1
S,Kyron Gould,32,2007,85,81,95,87,92,74,4.3,2
S,Callum Brock,27,2010,98,75,65,75,89,84,10.8,1
CB,Farhan O'Reilly,25,2013,81,62,91,74,93,70,0.7,4
CB,Erik Dotson,26,2013,86,67,85,78,91,57,0.7,4
CB,Rusty McDonald,21,2016,105,65,85,83,95,70,5.8,4
CB,Haris Berger,28,2009,82,89,96,104,92,66,9,4
CB,John Powers,24,2013,61,71,83,76,93,45,1.7,1
CB,Emmanuel Vaughn,30,2007,86,98,88,104,92,66,14,5
DL,Casey Krueger,31,2008,97,83,86,89,84,78,2.4,1
DL,Terry Hogan,23,2015,88,45,75,88,76,85,1.1,4
DL,Liberty Johns,33,2006,69,95,82,90,92,91,7.4,3
DL,Ian Cline,23,2014,87,72,84,91,82,82,1.2,4
DL,Aron Knox,27,2010,98,86,95,89,90,72,13.5,5
DL,Kevin Dale,30,2008,76,76,87,89,77,78,1.2,2
DL,Eddie Lang,26,2013,71,55,74,89,82,88,0.6,4
LB,Norm Bryan,24,2014,72,62,91,69,57,65,0.6,4
LB,Howard Mueller,26,2013,71,54,95,76,70,60,0.6,4
LB,Cain Sims,24,2014,92,68,88,85,80,66,2.4,4
LB,Charlie Wallace,33,2005,55,80,90,79,87,82,0.9,1
LB,Kevin Fields,25,2015,63,54,91,76,54,56,0.5,3
LB,Luis Bush,26,2013,86,83,96,92,93,84,0.9,4
LB,Jim Thornton,28,2011,84,75,77,83,67,74,0.8,1
END_PLAYERS
New York Jillers,NYJ
QB,Kira Osborne,28,2010,75,82,80,78,67,74,3.6,3
QB,Livia ODonnell,24,2015,87,76,90,91,84,79,7.4,4
RB,Abby Morton,28,2011,67,76,81,57,74,80,2.4,3
RB,Velma Stokes,25,2013,88,74,53,87,59,73,1.8,2
RB,Rina Odling,30,2008,51,84,69,75,81,67,1.3,2
RB,Wendy Hansen,22,2016,79,81,81,69,74,68,1,2
WR,Josie Macias,27,2012,80,72,69,80,79,78,1.5,2
WR,Serena Moon,25,2014,80,69,65,82,68,74,1,1
WR,Jessica Hebert,31,2007,58,79,79,90,76,79,2.3,1
WR,Rose Carter,23,2015,85,79,93,92,78,86,2.5,3
WR,Sally Beltran,24,2013,79,63,77,84,68,75,1.9,2
WR,Leah Gowns,26,2012,71,65,69,81,63,75,1.4,2
OL,Veronica Conner,25,2014,59,78,92,85,68,84,3.4,2
OL,Natalie Meyers,27,2012,89,76,84,79,85,90,2.2,2
OL,Amy Figueroa,22,2016,78,67,72,81,76,69,1.6,2
OL,Sadie Graves,26,2013,59,65,79,68,74,81,1.5,2
OL,Veronica Anderson,29,2010,62,78,79,80,75,70,1.7,3
OL,Abigail Holder,27,2012,71,72,73,74,75,76,1.5,2
OL,Zoe Brewer,23,2016,89,64,79,82,78,67,2.1,3
OL,Zoey Santiago,23,2016,88,65,80,77,68,81,2,2
OL,Harmony Foster,26,2013,54,67,78,65,71,76,1.2,2
K,Lily Cole,24,2015,78,81,98,91,83,89,3.2,3
K,Rita ONeil,33,2005,42,100,64,88,87,89,2.1,3
S,Joanne French,25,2014,83,79,63,79,86,77,2.4,2
S,Tassa Ramsey,28,2011,66,76,65,67,59,70,1.2,3
CB,Lucia Tate,25,2014,74,75,82,91,82,93,4.5,3
CB,Sue Knapp,22,2016,88,76,63,82,78,66,2,2
CB,Rena Frye,29,2010,52,67,89,78,82,54,1.9,2
CB,Faith Haas,28,2011,67,81,45,59,71,69,1.3,2
CB,Maggie Blake,24,2014,77,75,81,67,83,74,1.7,2
CB,Isabelle Bean,23,2016,82,51,68,71,58,69,1,2
DL,Josie Cameron,25,2014,63,77,72,80,74,59,1,2
DL,Frankie Hines,27,2012,78,54,79,59,78,69,0.8,2
DL,Joann Nixon,22,2016,98,98,99,90,88,75,3.4,3
DL,Jamie Wheeler,30,2008,67,84,69,73,81,77,2.1,2
DL,Emma Holms,24,2015,84,65,70,79,68,74,1.5,2
DL,Constance Scott,25,2014,77,78,79,91,68,53,1.5,2
DL,Callie Cherry,23,2016,72,69,82,55,69,81,1,3
LB,Marie Vincent,26,2013,92,83,69,51,76,72,1.8,2
LB,Beatrice Tyler,28,2011,54,67,52,64,59,79,0.6,4
LB,Liberty Ponce,29,2010,66,71,89,65,85,91,2.3,3
LB,Kiara Dean,23,2016,83,67,72,81,76,79,1.7,2
LB,Tamara Murray,28,2011,78,78,56,89,76,53,2,2
LB,Lil Gamble,21,2016,100,50,50,90,92,89,3.5,3
LB,Katherine Nolan,25,2014,67,83,71,77,80,69,1.2,2
END_PLAYERS
#AMSOU
Houston Temptation,HOU
QB,Jak Frank,28,2011,84,63,85,97,79,20,0.8,2
QB,Leo Cummings,28,2011,84,81,96,86,79,20,16,6
RB,Ewan Krueger,22,2015,83,60,76,53,90,87,0.8,4
RB,Cole England,26,2014,62,85,85,50,85,80,0.6,1
RB,Tobias Villa,27,2009,82,87,90,59,88,84,8,5
RB,Jake Reed,23,2015,78,52,74,69,87,81,0.6,4
WR,Conner Brewer,27,2011,61,66,88,81,84,49,4,3
WR,Edwin McGrath,27,2013,62,64,80,75,78,45,0.6,1
WR,Lonnie Rice,22,2016,95,75,85,85,96,97,2.5,4
WR,Rick Mosley,25,2013,83,51,90,72,92,65,0.5,1
WR,Reuben Delgado,24,2015,73,44,90,74,85,59,0.6,4
WR,Andrew Bowers,26,2012,65,70,89,77,83,57,5,3
OL,George Erickson,24,2015,78,64,88,89,73,77,0.7,4
OL,Jay Curie,24,2015,88,62,87,92,72,78,1.2,4
OL,Lachlan Marquez,24,2014,82,75,92,91,85,91,0.7,4
OL,Wayne Sloan,28,2011,84,82,88,93,87,90,7.3,5
OL,Gregory Benson,27,2013,91,76,89,84,83,92,2.1,4
OL,Aiden Yoder,24,2014,62,69,92,75,75,79,0.5,3
OL,Gus Finch,25,2014,77,75,91,95,89,87,0.6,4
OL,Brett Flynn,24,2015,68,60,92,73,77,71,0.6,4
OL,Austin Hendrix,22,2015,63,50,92,83,88,76,0.5,3
K,Oscar Lindsay,25,2013,63,67,84,89,84,73,0.6,1
K,Byron Harper,24,2014,62,69,92,94,91,71,0.5,3
S,Dan Harvey,27,2012,61,72,89,68,88,85,0.7,1
S,John Blackburn,25,2013,66,68,90,75,91,79,0.6,4
CB,Ollie Nguyen,24,2014,65,77,93,91,86,45,0.6,4
CB,Hank Martin,23,2015,83,51,90,82,95,74,0.8,4
CB,William Berg,32,2006,55,91,90,85,91,47,6.8,2
CB,Jackson Crane,25,2011,99,82,97,105,92,72,14,5
CB,Euan Lyons,26,2012,100,73,81,69,67,69,9,5
CB,Sienna Cantrell,28,2011,74,97,96,109,89,65,14,4
DL,Arthur Mueller,22,2016,105,65,85,91,86,81,4.5,4
DL,Mohamed Buckley,30,2008,76,87,93,73,76,64,7.1,4
DL,Haider Buchanan,30,2010,68,72,88,74,67,64,3.3,3
